caseid,wt2,wt2a,knowledge,sex,race,age,female,white,oftenvote,conservative,prayfreq,heterosexual,married,yrsofschool,income,speaker,vp,pm,cj
1273,2.0143001,195042.252086,1,2. Female respondent selected,1. White,36,1,1,Nearly Always,,Few times a week,1,0,12,,0,0,0,1
1274,2.523,244295.020751,1,2. Female respondent selected,1. White,55,1,1,Seldom,4,Once/week,1,1,11,3,0,1,0,0
1275,.96600002,93533.181883,1,1. Male respondent selected,1. White,61,0,1,Nearly Always,5,Few times a week,1,0,13,19,0,1,0,0
1276,2.9809,288633.925096,3,1. Male respondent selected,1. White,83,0,1,Always,4,Several/Day,1,1,11,8,1,1,0,1
1277,2.9609001,286696.935889,2,2. Female respondent selected,1. White,22,1,1,Nearly Always,,Few times a week,1,0,16,7,0,1,1,0
1278,0. No Post-election interview,0. No Post-election interview,,1. Male respondent selected,1. White,46,0,1,Nearly Always,5,Daily,1,1,17,24,,,,
1279,2.3996,232352.71608,2,2. Female respondent selected,1. White,77,1,1,Always,6,Few times a week,1,1,14,,0,1,1,0
1280,.47130001,45637.830566,3,1. Male respondent selected,4. Other race,37,0,0,Nearly Always,2,Daily,1,1,13,14,1,1,0,1
1281,1.6295,157778.1551,1,1. Male respondent selected,1. White,26,0,1,Nearly Always,6,Daily,1,0,12,9,1,0,0,0
1282,2.0309999,196659.528423,2,2. Female respondent selected,1. White,51,1,1,Always,6,Several/Day,1,1,16,15,1,1,0,0
1283,1.9227,186174.418759,0,2. Female respondent selected,1. White,38,1,1,Seldom,,Daily,1,1,13,,0,0,0,0
1284,2.3996,232352.71608,2,1. Male respondent selected,1. White,70,0,1,Nearly Always,3,Once/week,1,1,13,15,1,1,0,0
1285,1.5554,150604.579287,4,1. Male respondent selected,1. White,21,0,1,Always,3,Few times a week,1,0,15,2,1,1,1,1
1286,3.1019001,300352.843395,4,2. Female respondent selected,1. White,29,1,1,Part of the Time,6,Several/Day,1,1,12,1,1,1,1,1
1287,2.8968,280498.58566,2,2. Female respondent selected,1. White,47,1,1,Always,4,Several/Day,1,1,16,2,1,1,0,0
1288,1.0581,102457.517474,4,1. Male respondent selected,1. White,32,0,1,Always,3,Once/week,1,0,12,17,1,1,1,1
1289,2.4054999,232918.373633,0,1. Male respondent selected,1. White,32,0,1,Seldom,5,Never,1,1,16,21,0,0,0,0
1290,2.4809,240227.653827,0,1. Male respondent selected,1. White,43,0,1,Always,4,Few times a week,1,1,17,22,0,0,0,0
1291,.62180001,60212.394203,0,2. Female respondent selected,1. White,57,1,1,Always,5,Daily,0,0,16,14,0,0,0,0
1292,1.1446,110833.892905,0,2. Female respondent selected,1. White,32,1,1,Seldom,4,Once/week,1,0,14,18,0,0,0,0
1293,2.9609001,286696.935889,0,2. Female respondent selected,1. White,27,1,1,Seldom,2,Once/week,1,0,17,1,0,0,0,0
1294,.49380001,47811.645194,0,1. Male respondent selected,1. White,36,0,1,Always,3,Few times a week,1,1,12,,0,0,0,0
1295,2.3155,224205.846596,0,1. Male respondent selected,1. White,49,0,1,Nearly Always,5,Once/week,1,1,14,21,0,0,0,0
1296,.57050002,55245.446406,0,1. Male respondent selected,1. White,43,0,1,Always,5,Daily,1,1,14,18,0,0,0,0
1297,1.4515001,140544.751357,0,2. Female respondent selected,1. White,56,1,1,Always,4,Several/Day,1,1,12,1,0,0,0,0
1298,1.3741,133051.46007,0,2. Female respondent selected,4. Other race,38,1,0,Part of the Time,,Daily,1,1,12,,0,0,0,0
1299,1.7333,167837.761093,0,1. Male respondent selected,1. White,51,0,1,Always,5,Several/Day,1,1,17,20,0,0,0,0
1300,.78979999,76472.956313,2,2. Female respondent selected,1. White,45,1,1,Always,2,Daily,1,0,14,14,0,0,1,1
1301,.78979999,76472.956313,0,2. Female respondent selected,1. White,47,1,1,Nearly Always,7,Daily,1,0,14,14,0,0,0,0
1302,1.9761,191346.982362,0,2. Female respondent selected,4. Other race,43,1,0,Nearly Always,2,Few times a week,1,1,17,23,0,0,0,0
1303,2.3004999,222758.520739,0,1. Male respondent selected,1. White,60,0,1,Nearly Always,5,Never,1,1,16,19,0,0,0,0
1304,0. No Post-election interview,0. No Post-election interview,,2. Female respondent selected,1. White,57,1,1,Always,6,Several/Day,1,0,13,17,,,,
1305,3.0021,290690.939707,0,1. Male respondent selected,1. White,71,0,1,Always,6,Once/week,1,1,17,,0,0,0,0
1306,1.8388,178053.527832,1,2. Female respondent selected,1. White,63,1,1,Part of the Time,4,Few times a week,1,1,13,,0,1,0,0
1307,2.0309999,196659.528423,2,2. Female respondent selected,1. White,55,1,1,Nearly Always,5,Several/Day,1,1,14,1,1,0,0,1
1308,1.7627,170677.24825,0,1. Male respondent selected,1. White,25,0,1,Part of the Time,2,Never,1,0,13,12,0,0,0,0
1309,1.2091,117075.918685,0,2. Female respondent selected,1. White,53,1,1,Nearly Always,4,Daily,1,0,15,15,0,0,0,0
1310,1.3384,129592.297176,4,2. Female respondent selected,5. White and another race,32,1,0,Seldom,2,Never,1,1,17,20,1,1,1,1
1311,1.3433,130069.026202,0,2. Female respondent selected,1. White,48,1,1,Always,4,Once/week,1,0,15,13,0,0,0,0
1312,.76880002,74446.391017,1,2. Female respondent selected,1. White,72,1,1,Seldom,4,Daily,1,0,12,7,0,1,0,0
1313,.25940001,25116.076899,3,1. Male respondent selected,4. Other race,37,0,0,Part of the Time,,Few times a week,1,1,12,1,0,1,1,1
1314,.193,18692.846497,4,1. Male respondent selected,2. Black/African-American,52,0,0,Nearly Always,,Daily,1,0,14,13,1,1,1,1
1315,.24690001,23905.822597,1,1. Male respondent selected,4. Other race,36,0,0,Seldom,,Daily,1,0,12,7,0,0,1,0
1316,.47189999,45696.238284,1,2. Female respondent selected,4. Other race,22,1,0,Seldom,5,Several/Day,0,0,11,1,0,0,1,0
1317,0. No Post-election interview,0. No Post-election interview,,1. Male respondent selected,4. Other race,49,0,0,Always,,Several/Day,1,1,12,17,,,,
1318,.41029999,39730.151891,3,1. Male respondent selected,4. Other race,49,0,0,Nearly Always,2,Few times a week,1,1,12,17,0,1,1,1
1319,.2476,23974.1439,2,2. Female respondent selected,1. White,30,1,1,Nearly Always,4,Few times a week,1,1,14,10,0,0,1,1
1320,.37990001,36785.852794,3,1. Male respondent selected,1. White,27,0,1,Seldom,,Daily,1,0,13,14,0,1,1,1
1321,.62110001,60145.368854,2,2. Female respondent selected,1. White,59,1,1,Always,2,Several/Day,1,0,15,17,1,1,0,0
1322,0. No Post-election interview,0. No Post-election interview,,2. Female respondent selected,1. White,43,1,1,Nearly Always,,Few times a week,1,0,14,12,,,,
1323,.47189999,45696.238284,4,1. Male respondent selected,1. White,18. 18 years old,0,1,Nearly Always,4,Few times a week,1,0,8,,1,1,1,1
1324,.3788,36681.020796,4,2. Female respondent selected,1. White,18. 18 years old,1,1,Seldom,,Few times a week,1,0,12,1,1,1,1,1
1325,.77710003,75246.436048,2,1. Male respondent selected,1. White,49,0,1,Always,6,Several/Day,1,0,16,5,1,1,0,0
1326,.47189999,45696.238284,4,1. Male respondent selected,1. White,20,0,1,Seldom,,Once/week,1,0,10,1,1,1,1,1
1327,.94870001,91858.414882,2,2. Female respondent selected,1. White,22,1,1,Seldom,,Few times a week,1,0,9,1,0,0,1,1
1328,.2604,25210.464906,3,2. Female respondent selected,4. Other race,55,1,0,Always,4,Several/Day,1,0,12,17,0,1,1,1
1329,.27700001,26823.329108,0,2. Female respondent selected,4. Other race,66,1,0,Always,,Several/Day,1,0,10,,0,0,0,0
1330,.48649999,47109.788111,2,1. Male respondent selected,4. Other race,52,0,0,Seldom,,Several/Day,1,1,11,13,0,1,0,1
1331,.3784,36635.756703,2,1. Male respondent selected,1. White,78,0,1,Always,3,Several/Day,1,1,17,12,0,1,0,1
1332,.37990001,36785.852794,0,2. Female respondent selected,1. White,26,1,1,Nearly Always,6,Daily,1,1,13,1,0,0,0,0
1333,0. No Post-election interview,0. No Post-election interview,,1. Male respondent selected,1. White,36,0,1,Seldom,,Once/week,1,0,12,14,,,,
1334,.3576,34623.656775,4,2. Female respondent selected,1. White,87,1,1,Always,,Several/Day,1,0,8,9,1,1,1,1
1335,.2455,23766.753643,1,1. Male respondent selected,4. Other race,67,0,0,Nearly Always,6,Several/Day,1,0,12,13,0,0,0,1
1336,.2455,23766.753643,3,2. Female respondent selected,1. White,60,1,1,Nearly Always,3,Daily,1,1,12,1,0,1,1,1
1337,.4492,43494.299295,1,2. Female respondent selected,4. Other race,28,1,0,Seldom,5,Few times a week,1,0,10,4,0,0,1,0
1338,.25940001,25116.076899,1,1. Male respondent selected,1. White,33,0,1,Seldom,2,Daily,1,1,12,14,0,1,0,0
1339,.3087,29893.156794,0,1. Male respondent selected,4. Other race,54,0,0,Seldom,,Several/Day,1,1,8,6,0,0,0,0
1340,0. No Post-election interview,0. No Post-election interview,,2. Female respondent selected,1. White,60,1,1,Part of the Time,,Several/Day,1,0,16,4,,,,
1341,.94870001,91858.414882,0,2. Female respondent selected,1. White,28,1,1,Nearly Always,4,Daily,1,0,12,6,0,0,0,0
1342,.58920002,57048.795377,1,2. Female respondent selected,1. White,76,1,1,Seldom,,Daily,1,1,12,1,0,1,0,0
1343,.2604,25210.464906,0,1. Male respondent selected,4. Other race,52,0,0,Part of the Time,4,Daily,1,0,10,7,0,0,0,0
1344,.2485,24064.240442,1,2. Female respondent selected,1. White,57,1,1,Always,4,Several/Day,1,0,14,12,0,1,0,0
1345,.1742,16868.021992,0,2. Female respondent selected,2. Black/African-American,63,1,0,Nearly Always,6,Several/Day,1,0,16,3,0,0,0,0
1346,.616,59650.749129,3,1. Male respondent selected,1. White,33,0,1,Seldom,5,Once/week,1,0,12,13,1,1,1,0
1347,.9181,88903.46647,1,1. Male respondent selected,1. White,77,0,1,Nearly Always,4,Never,1,0,17,11,0,1,0,0
1348,.3098,29993.479468,1,1. Male respondent selected,4. Other race,35,0,0,Nearly Always,4,Several/Day,1,1,16,21,0,1,0,0
1349,.31400001,30403.480249,0,1. Male respondent selected,4. Other race,40,0,0,Part of the Time,4,Never,1,0,11,17,0,0,0,0
1350,.3757,36376.511311,0,1. Male respondent selected,1. White,74,0,1,Nearly Always,,Daily,1,0,6,4,0,0,0,0
1351,0. No Post-election interview,0. No Post-election interview,,2. Female respondent selected,4. Other race,80,1,0,Always,,Several/Day,1,0,3,3,,,,
1352,.27700001,26823.329108,0,1. Male respondent selected,4. Other race,63,0,0,Always,,Daily,1,0,6,,0,0,0,0
1353,.3723,36050.743434,0,1. Male respondent selected,4. Other race,49,0,0,Nearly Always,6,Daily,1,1,11,8,0,0,0,0
1354,.25940001,25116.076899,3,2. Female respondent selected,1. White,38,1,1,Seldom,4,Daily,1,1,12,2,0,1,1,1
1355,.3757,36376.511311,0,2. Female respondent selected,4. Other race,70,1,0,Always,,Several/Day,1,0,6,,0,0,0,0
1356,.62110001,60145.368854,2,1. Male respondent selected,1. White,58,0,1,Seldom,4,Several/Day,1,1,14,18,1,1,0,0
1357,.26109999,25282.514793,1,2. Female respondent selected,1. White,56,1,1,Always,5,Several/Day,1,1,13,7,0,1,0,0
1358,.72320002,70026.547101,1,1. Male respondent selected,1. White,27,0,1,Seldom,4,Several/Day,1,1,14,19,0,1,0,0
1359,.56239998,54455.002476,2,2. Female respondent selected,1. White,69,1,1,Nearly Always,4,Few times a week,1,1,13,7,1,1,0,0
1360,.9181,88903.46647,2,1. Male respondent selected,1. White,78,0,1,Always,7,Several/Day,1,0,16,13,1,1,0,0
1361,.398,38538.031281,0,1. Male respondent selected,4. Other race,"17. 17 years old (18 by Oct 30, 2008)",0,0,,,Daily,1,0,10,9,0,0,0,0
1362,.47099999,45605.220374,1,2. Female respondent selected,1. White,44,1,1,Nearly Always,6,Several/Day,1,1,10,19,0,1,0,0
1363,.41029999,39730.151891,0,2. Female respondent selected,1. White,58,1,1,Always,4,Several/Day,1,1,12,1,0,0,0,0
1364,.3714,35961.215851,2,1. Male respondent selected,4. Other race,29,0,0,Nearly Always,2,Never,1,1,15,17,1,1,0,0
1365,.2879,27872.332366,0,1. Male respondent selected,1. White,75,0,1,Always,2,Daily,1,0,14,4,0,0,0,0
1366,.5977,57876.889619,0,2. Female respondent selected,4. Other race,40,1,0,Always,,Few times a week,1,0,9,4,0,0,0,0
1367,.39120001,37881.820675,2,2. Female respondent selected,6. Black and another race,31,1,0,Seldom,4,Daily,1,1,12,15,0,0,1,1
1368,.56559998,54761.758469,1,1. Male respondent selected,1. White,42,0,1,Seldom,4,Daily,1,1,17,14,0,1,0,0
1369,0. No Post-election interview,0. No Post-election interview,,1. Male respondent selected,4. Other race,28,0,0,Part of the Time,4,Several/Day,1,0,12,8,,,,
1370,.72320002,70026.547101,0,2. Female respondent selected,1. White,21,1,1,Seldom,3,Daily,1,0,13,1,0,0,0,0
1371,0. No Post-election interview,0. No Post-election interview,,1. Male respondent selected,1. White,43,0,1,Nearly Always,5,Daily,1,0,12,17,,,,
1372,.42640001,41287.430413,2,2. Female respondent selected,1. White,74,1,1,Always,,Few times a week,1,0,3,4,0,0,1,1
1373,.28529999,27622.723203,3,1. Male respondent selected,1. White,45,0,1,Always,5,Daily,1,0,15,4,1,1,0,1
1374,.71179998,68922.256895,1,2. Female respondent selected,1. White,24,1,1,Seldom,5,Once/week,1,0,11,1,0,0,0,1
1375,1.6381,158611.129956,1,1. Male respondent selected,1. White,50,0,1,Nearly Always,4,Few times a week,1,1,12,12,0,1,0,0
1376,0. No Post-election interview,0. No Post-election interview,,2. Female respondent selected,1. White,55,1,1,Nearly Always,6,Several/Day,1,1,16,13,,,,
1377,.30469999,29500.532822,4,2. Female respondent selected,4. Other race,60,1,0,Seldom,,Several/Day,1,,9,3,1,1,1,1
1378,.90549999,87681.960272,1,1. Male respondent selected,1. White,21,0,1,Always,7,Several/Day,1,0,15,7,1,0,0,0
1379,.90549999,87681.960272,2,1. Male respondent selected,1. White,21,0,1,Seldom,4,Daily,1,0,13,4,0,1,1,0
1380,.70359999,68127.354431,3,2. Female respondent selected,1. White,68,1,1,Always,3,Never,1,0,17,18,0,1,1,1
1381,1.9831001,192018.360588,3,2. Female respondent selected,1. White,50,1,1,Always,6,Several/Day,1,1,14,14,1,1,0,1
1382,.63690001,61672.683474,2,1. Male respondent selected,1. White,61,0,1,Part of the Time,4,Few times a week,1,0,15,17,1,1,0,0
1383,.73699999,71361.825717,1,2. Female respondent selected,1. White,52,1,1,Seldom,,Several/Day,1,0,12,1,0,1,0,0
1384,.8739,84616.854675,3,1. Male respondent selected,1. White,54,0,1,Seldom,4,Several/Day,1,0,11,7,1,1,0,1
1385,1.0743999,104033.691815,3,1. Male respondent selected,1. White,25,0,1,Nearly Always,4,Few times a week,1,1,12,16,0,1,1,1
1386,1.7602,170439.791458,3,1. Male respondent selected,1. White,55,0,1,Nearly Always,5,Daily,1,1,17,18,1,1,0,1
1387,.59750003,57857.776062,2,2. Female respondent selected,4. Other race,22,1,0,Always,3,Few times a week,1,1,12,8,0,1,1,0
1388,.90549999,87681.960272,3,1. Male respondent selected,1. White,21,0,1,Always,7,Several/Day,1,0,13,11,1,1,0,1
1389,.77710003,75246.436048,2,2. Female respondent selected,1. White,58,1,1,Always,3,Several/Day,1,0,16,15,1,1,0,0
1390,1.0141,98197.761939,2,2. Female respondent selected,1. White,40,1,1,Nearly Always,5,Daily,1,1,17,4,0,1,0,1
1391,.70819998,68569.997349,0,2. Female respondent selected,1. White,46,1,1,Nearly Always,4,Several/Day,1,0,14,20,0,0,0,0
1392,.70359999,68127.354431,2,2. Female respondent selected,1. White,65,1,1,Nearly Always,7,Several/Day,1,0,17,18,1,0,0,1
1393,.74489999,72126.457732,3,1. Male respondent selected,1. White,54,0,1,Part of the Time,5,Never,1,0,12,20,0,1,1,1
1394,0. No Post-election interview,0. No Post-election interview,,2. Female respondent selected,1. White,52,1,1,Nearly Always,7,Daily,1,1,13,19,,,,
1395,.62110001,60145.368854,3,2. Female respondent selected,1. White,50,1,1,Nearly Always,,Several/Day,1,0,13,12,0,1,1,1
1396,.90549999,87681.960272,3,1. Male respondent selected,1. White,27,0,1,Always,5,Once/week,1,0,13,18,0,1,1,1
1397,0. No Post-election interview,0. No Post-election interview,,2. Female respondent selected,1. White,43,1,1,Always,4,Several/Day,0,0,11,17,,,,
1398,.6437,62333.49768,4,2. Female respondent selected,1. White,65,1,1,Always,6,Several/Day,1,1,14,12,1,1,1,1
1399,1.5612,151165.648156,3,1. Male respondent selected,1. White,60,0,1,Always,6,Few times a week,1,1,17,25,1,1,0,1
1400,.89840001,86988.598591,1,2. Female respondent selected,1. White,26,1,1,Seldom,2,Daily,1,1,12,9,0,0,0,1
1401,.52069998,50420.929812,3,2. Female respondent selected,4. Other race,53,1,0,Always,5,Daily,1,1,12,11,0,1,1,1
1402,.65359998,63291.890619,1,2. Female respondent selected,1. White,60,1,1,Part of the Time,,Once/week,1,0,12,10,0,1,0,0
1403,.85299999,82593.380037,0,2. Female respondent selected,1. White,85,1,1,Seldom,,Daily,1,0,12,4,0,0,0,0
1404,0. No Post-election interview,0. No Post-election interview,,1. Male respondent selected,1. White,57,0,1,Part of the Time,,Several/Day,1,1,10,17,,,,
1405,2.0373001,197265.110973,4,1. Male respondent selected,1. White,77,0,1,Always,6,Daily,1,1,16,,1,1,1,1
1406,.68910003,66727.335461,3,1. Male respondent selected,1. White,50,0,1,Nearly Always,5,Never,1,0,14,13,1,1,0,1
1407,.40020001,38748.522519,3,1. Male respondent selected,2. Black/African-American,53,0,0,Always,4,Daily,1,1,14,12,1,1,0,1
1408,.7723,74776.402858,3,1. Male respondent selected,1. White,,0,1,Nearly Always,,Daily,1,0,12,13,1,1,0,1
1409,.9048,87608.542411,0,2. Female respondent selected,4. Other race,26,1,0,Nearly Always,2,Few times a week,1,0,17,15,0,0,0,0
1410,0. No Post-election interview,0. No Post-election interview,,2. Female respondent selected,2. Black/African-American,48,1,0,Always,,Few times a week,1,1,17,25,,,,
1411,.90549999,87681.960272,0,1. Male respondent selected,,,0,0,Nearly Always,3,Daily,1,0,15,19,0,0,0,0
1412,.73570001,71234.59314300001,2,2. Female respondent selected,1. White,32,1,1,Always,1,,1,1,17,18,1,1,0,0
1413,0. No Post-election interview,0. No Post-election interview,,1. Male respondent selected,1. White,21,0,1,Seldom,2,Never,1,0,13,15,,,,
1414,.38710001,37482.665811,4,1. Male respondent selected,1. White,70,0,1,Nearly Always,1,Never,1,0,17,13,1,1,1,1
1415,.57050002,55245.446406,1,2. Female respondent selected,1. White,40,1,1,Part of the Time,,Few times a week,1,0,13,13,0,0,0,1
1416,.65069997,63010.204474,3,1. Male respondent selected,1. White,50,0,1,Seldom,4,Never,1,0,12,15,0,1,1,1
1417,.30700001,29727.744324,2,2. Female respondent selected,2. Black/African-American,52,1,0,Seldom,,Several/Day,,0,12,,0,1,1,0
1418,0. No Post-election interview,0. No Post-election interview,,2. Female respondent selected,2. Black/African-American,,1,0,Always,4,Few times a week,1,0,12,1,,,,
1419,.4219,40855.608214,0,1. Male respondent selected,1. White,44,0,1,Part of the Time,6,Several/Day,1,1,11,14,0,0,0,0
1420,.2208,21375.311539,0,2. Female respondent selected,2. Black/African-American,,1,0,Seldom,5,Several/Day,0,0,15,5,0,0,0,0
1421,.26550001,25709.795561,3,2. Female respondent selected,1. White,60,1,1,Always,,Several/Day,1,1,13,,1,1,0,1
1422,0. No Post-election interview,0. No Post-election interview,,1. Male respondent selected,4. Other race,89,0,0,Part of the Time,6,Several/Day,1,1,12,4,,,,
1423,.3788,36681.020796,3,1. Male respondent selected,1. White,22,0,1,Seldom,4,Never,1,,12,,0,1,1,1
1424,.2314,22408.345153,3,1. Male respondent selected,2. Black/African-American,38,0,0,Nearly Always,3,Few times a week,0,0,17,19,1,1,1,0
1425,.91170001,88274.359385,0,1. Male respondent selected,1. White,84,0,1,Always,2,Several/Day,1,0,11,,0,0,0,0
1426,.36160001,35013.27355,2,2. Female respondent selected,4. Other race,28,1,0,Seldom,4,Few times a week,1,1,14,3,0,0,1,1
1427,.2189,21194.242717,2,1. Male respondent selected,2. Black/African-American,65,0,0,Nearly Always,,Never,1,0,10,4,1,0,1,0
1428,.5122,49596.684819,3,2. Female respondent selected,1. White,82,1,1,Nearly Always,,Daily,1,0,,1,1,1,1,0
1429,2.4054999,232918.373633,1,1. Male respondent selected,1. White,32,0,1,Always,4,Daily,1,1,17,20,0,1,0,0
1430,1.4484,140249.755721,4,1. Male respondent selected,4. Other race,45,0,0,Part of the Time,4,Daily,1,1,17,24,1,1,1,1
1431,2.4054999,232918.373633,1,2. Female respondent selected,1. White,35,1,1,Always,5,Once/week,1,1,17,22,0,1,0,0
1432,3.7042999,358679.696587,2,1. Male respondent selected,1. White,25,0,1,Always,5,Never,1,0,17,14,1,1,0,0
1433,2.5409,246036.044184,2,2. Female respondent selected,1. White,53,1,1,Always,6,Several/Day,1,1,17,1,0,1,0,1
1434,2.9749,288059.143545,2,1. Male respondent selected,1. White,23,0,1,Part of the Time,4,Never,1,0,12,7,1,1,0,0
1435,2.4258001,234885.187461,2,1. Male respondent selected,1. White,43,0,1,Seldom,4,Daily,1,0,12,17,1,1,0,0
1436,1.5459,149683.259068,1,2. Female respondent selected,1. White,40,1,1,Seldom,2,Once/week,1,1,12,1,0,1,0,0
1437,3.5409,342859.078474,2,2. Female respondent selected,1. White,23,1,1,Seldom,6,Several/Day,1,0,16,3,0,1,0,1
1438,3.1019001,300352.843395,0,2. Female respondent selected,1. White,21,1,1,Seldom,6,Several/Day,1,0,12,4,0,0,0,0
1439,.90759999,87883.96958800001,2,2. Female respondent selected,2. Black/African-American,41,1,0,Nearly Always,5,Daily,1,0,16,19,1,1,0,0
1440,.801,77561.116992,0,2. Female respondent selected,1. White,85,1,1,Part of the Time,3,Several/Day,1,0,12,5,0,0,0,0
1441,.46720001,45243.036847,2,2. Female respondent selected,1. White,61,1,1,Part of the Time,,Daily,1,1,12,5,1,1,0,0
1442,2.1277001,206026.786996,1,2. Female respondent selected,1. White,52,1,1,Seldom,7,Few times a week,1,0,12,13,0,1,0,0
1443,0. No Post-election interview,0. No Post-election interview,,2. Female respondent selected,1. White,70,1,1,Always,,Never,1,1,17,,,,,
1444,2.8968,280498.58566,3,2. Female respondent selected,1. White,41,1,1,Nearly Always,2,Several/Day,1,1,17,14,1,1,0,1
1445,2.5409,246036.044184,2,2. Female respondent selected,1. White,57,1,1,Always,5,Several/Day,1,1,17,5,0,1,1,0
1446,2.8968,280498.58566,1,2. Female respondent selected,1. White,41,1,1,Seldom,6,Few times a week,1,1,16,5,0,1,0,0
1447,.96820003,93750.58030099999,0,1. Male respondent selected,2. Black/African-American,24,0,0,Seldom,7,Daily,1,0,12,1,0,0,0,0
1448,2.3004999,222758.520739,4,1. Male respondent selected,1. White,64,0,1,Always,4,Daily,1,1,17,11,1,1,1,1
1449,0. No Post-election interview,0. No Post-election interview,,2. Female respondent selected,1. White,46,1,1,Always,2,Once/week,1,1,17,,,,,
1450,0. No Post-election interview,0. No Post-election interview,,1. Male respondent selected,1. White,52,0,1,Always,3,Never,1,1,17,,,,,
1451,2.3004999,222758.520739,3,1. Male respondent selected,4. Other race,64,0,0,Part of the Time,4,Few times a week,1,1,17,11,1,1,1,0
1452,.68800002,66623.20292,3,1. Male respondent selected,1. White,68,0,1,Always,4,Several/Day,1,0,12,16,1,1,1,0
1453,.824,79784.48781599999,3,1. Male respondent selected,1. White,39,0,1,Always,,Few times a week,1,1,16,20,1,1,0,1
1454,.85710001,82987.748462,4,1. Male respondent selected,1. White,75,0,1,Always,7,Few times a week,1,1,13,,1,1,1,1
1455,.90759999,87883.96958800001,4,1. Male respondent selected,2. Black/African-American,39,0,0,Always,2,Daily,1,1,16,12,1,1,1,1
1456,2.1445,207647.984424,3,1. Male respondent selected,1. White,79,0,1,Always,2,Daily,1,1,17,17,0,1,1,1
1457,.45910001,44451.060742,2,2. Female respondent selected,4. Other race,44,1,0,Nearly Always,5,Several/Day,1,1,14,5,1,1,0,0
1458,2.0143001,195042.252086,0,2. Female respondent selected,1. White,36,1,1,Nearly Always,,Few times a week,1,1,12,8,0,0,0,0
1459,1.8388,178053.527832,3,1. Male respondent selected,1. White,60,0,1,Always,6,Daily,1,1,13,,1,1,0,1
1460,2.2843001,221182.215911,0,2. Female respondent selected,1. White,67,1,1,Nearly Always,4,Once/week,1,1,8,11,0,0,0,0
1461,2.1277001,206026.786996,1,2. Female respondent selected,1. White,53,1,1,Nearly Always,4,Few times a week,1,0,12,10,0,1,0,0
1462,2.1277001,206026.786996,0,1. Male respondent selected,1. White,53,0,1,Seldom,6,Few times a week,1,1,12,,0,0,0,0
1463,2.8763001,278513.695145,1,1. Male respondent selected,1. White,43,0,1,Seldom,6,Once/week,1,1,11,9,0,1,0,0
1464,2.4258001,234885.187461,0,2. Female respondent selected,1. White,48,1,1,Seldom,,Several/Day,1,1,12,11,0,0,0,0
1465,.96600002,93533.181883,0,2. Female respondent selected,1. White,65,1,1,Seldom,,Daily,1,0,15,14,0,0,0,0
1466,2.3155,224205.846596,0,2. Female respondent selected,1. White,42,1,1,Nearly Always,4,Few times a week,1,1,14,5,0,0,0,0
1467,2.1277001,206026.786996,2,2. Female respondent selected,1. White,59,1,1,Always,,Several/Day,1,1,12,7,0,1,0,1
1468,2.0143001,195042.252086,0,2. Female respondent selected,1. White,31,1,1,Seldom,4,Daily,1,0,12,11,0,0,0,0
1469,2.9809,288633.925096,1,1. Male respondent selected,1. White,80,0,1,Always,,Never,1,1,9,11,1,0,0,0
1470,2.1277001,206026.786996,1,2. Female respondent selected,1. White,56,1,1,Seldom,,Once/week,1,1,12,5,0,1,0,0
1471,1.0581,102457.517474,4,2. Female respondent selected,1. White,38,1,1,Nearly Always,4,Once/week,1,0,12,6,1,1,1,1
1472,1.1177,108227.796301,2,2. Female respondent selected,1. White,55,1,1,Always,6,Several/Day,1,0,12,14,1,1,0,0
1473,.96600002,93533.181883,2,1. Male respondent selected,1. White,69,0,1,Part of the Time,,Never,1,0,16,7,1,1,0,0
1474,2.3884001,231270.174697,0,2. Female respondent selected,1. White,35,1,1,Part of the Time,4,Several/Day,1,1,11,10,0,0,0,0
1475,1.01,97799.16176800001,1,2. Female respondent selected,1. White,,1,1,Seldom,,Once/week,1,0,14,9,0,1,0,0
1476,1.9459,188417.796081,2,1. Male respondent selected,1. White,26,0,1,Seldom,5,Several/Day,1,0,16,16,1,1,0,0
1477,1.2743,123387.383715,1,1. Male respondent selected,1. White,39,0,1,Nearly Always,4,Once/week,1,0,12,13,1,0,0,0
1478,.9012,87262.076763,2,2. Female respondent selected,2. Black/African-American,40,1,0,Always,4,Daily,1,0,11,1,0,1,1,0
1479,1.2743,123387.383715,4,2. Female respondent selected,1. White,41,1,1,Nearly Always,5,Daily,1,0,12,12,1,1,1,1
1480,1.3206,127870.856945,0,2. Female respondent selected,1. White,83,1,1,Always,4,Several/Day,,0,12,5,0,0,0,0
1481,1.01,97799.16176800001,2,2. Female respondent selected,1. White,38,1,1,Part of the Time,5,Few times a week,0,0,14,9,0,1,1,0
1482,2.0143001,195042.252086,0,1. Male respondent selected,1. White,37,0,1,Seldom,,Once/week,1,0,10,11,0,0,0,0
1483,2.3155,224205.846596,2,1. Male respondent selected,1. White,,0,1,Always,4,Once/week,0,0,14,15,0,1,0,1
1484,1.2743,123387.383715,0,2. Female respondent selected,1. White,42,1,1,Seldom,,Never,0,0,12,13,0,0,0,0
1485,1.3206,127870.856945,1,2. Female respondent selected,1. White,80,1,1,Always,,Once/week,,0,12,4,0,1,0,0
1486,1.2605,122057.052835,3,2. Female respondent selected,1. White,83,1,1,Nearly Always,4,Never,1,0,14,6,1,1,1,0
